#	Tc	i	j	k_{i,j}
50	2	5	-4.909023537844159999673130050313424595435371657316444052404976244825914443117365530777952445840725472151527037244590058020179167585541065130419557486316455388270732209166725448536253914715564215242e-23
50	3	1	4.713162013432160086209853835966124644176315041385318684468713324462156531400561223568186428933389663630262847037049123440619134461302250140206735132479182750257152145886940473153052105976854046356148e9
50	3	2	5.9093659543902630239311715424385969769808954527385621156314939637128710441234508032105587757864419090569445557699637031808023965742033569742222573930805381187542458788814319764562873842685774696442e10
50	3	3	-6.735485781646174426387454786124700652414610155372653160369535258582601759775531186394371073835347534478526818637915198268116128626128039403502842848955535774863406077762374627386658824998463629221542e10
50	3	4	-7.584650376083080110786356889740660375772086565324979617825409932506444265918625793239884922506186096757622997058023776355741156028455412065325397734521359418725042231182333562996166151310000858073e-23
50	3	5	7.5903308123257671938316551215200433525020816731406821766522189716682852618379635683387491101402311911944462522577500092334495185030998624932514715978136219569063221681853223290795864487151049018674e-22
50	4	1	8.096246722461309538035689147812756430915666847325713918680149779395843493126621603398573166139152678695626113556893383917605399015714792544864073448282998617511191408342539290832379797864779219899e-12
50	4	2	1.845272267831894568068644930520601303419949834607747307122767576186423074356198625096903190170456249747454181037259490906855736977377948476284013649812434640821995516760949737656215378720973758865e-10
50	4	3	-7.503590518251040830226562709038029281306928816222152991875024452040770452591169701078383313653901670377807067366554042346301972412580043486665545886365521669789512446718540506204667375876977261229e-10
50	4	4	-6.204452118603941495914187508949110326444454129772915198091273203382305707709359375219041341105914109027210815864518827239304354592538399729444363371663615296280217717854560470245983385891387828831887e10
50	4	5	6.417328976536437347724417720466325458655385850617504197492785232519923439428205416655912026026363223629682836424473450289045116855925904133347539406851649859966794262130978674892151616387189388653534e10
50	5	1	-2.3616300203668145769961779048421036686296603686036296938539253934426270765680557271095816408348333536341652236810951216344331482966480799736682594075823393650762169444898545134182800460823465448935e-11
50	5	2	-9.715716656393994071184775435706048111883926235495168399005386909911430074823439856773379567498872340268145305307071824658924317630049216264421624231859155272850743689440750450531909114404586477834e-10
50	5	3	8.9236178638864557143808904776451722960676095063736638463830597381094835790957490050968143679895615492396488398144976590422150010877607377835303244573190423712255337488636627409761682141184907658094e-9
50	5	4	6.20445211860394149591418750894911742887619293745881454073229682746124850730293349623281424642964301824501131859660076459227841604538728043086482045149775590719217147662466960052059383575973690318929e10
50	5	5	-6.417328976536437347724417720466396860229595564193613069799743241970848580445117742596565485916569445145653428899872629659107865906783440361779983198873070996410343048733567643315470450766563796574076e10
100	1	1	-1.984680628104499062701127115687601458414065866680135512672553552958961496037107582219882604462916458151892462775898218928058141765162209484916023635357510189148890821976393332510581002242315801549871e10
100	1	2	1.701864095623530799812313016287786261780991347989645445953106378284083326535430467742520679774375526179696717312203364532491954756479239323444585575688406936797236591570943752752302648976081287721949e10
100	1	3	3.013400103660115288893207308172601547303179688654883359880236739095773749575524072127331936674371245332254989992842505581779340730264411219509323298934666004390964368585886404445242814637523657075948e10
100	1	4	-8.638131874729171210382909860630253614098277953112544111156532821937599492085321882779061953466679554477377730306776765837258381204682278970551130649485031323181472128784375890510424761609971743185e-20
100	1	5	5.386198178510494878315391132354208242866073564928209494608100674668602813466524399615140453427493804334535270051525550201121260962817218520274571321417191438721972015809339494359453176994339629783e-19
100	2	1	6.062401190770119488898180162212189532714102535070615011009541939727322633227973643813073846079667006059653133610476509368501915664700572450195722665707778552489511046935295585123780699365470044747185e9
100	2	2	-1.1562926655853993631083557074099756597215723221894916692994895631833356330660744148186656558451360816495082022196376517273864993203740572425227839463917868695831679393936869813709924761585492237048458e11
100	2	3	8.704007192567514277296903409877214508752046165166909685905259521455516794546492463641826693889303959620415023014162705949186263798383104530506909392326799546075211349735065959454829589151490434618099e10
100	2	4	8.87550477567402090041017110909937459480361215380898116789919368830707383102460336376156757780883068029150954797876373104744994442098790224327895782974935323451162159186763392040352396003798051232e-20
100	2	5	-2.93799454358931653107017098922022720872748827628381537903990784665561048857446899363943322588398011277728627163022517302125129514321412740858785191753307786682724291986839316920922396935469081699e-18
