#	Tc	i	j	k_{i,j}
100	3	3	-5.98303619628245072359866812987700589665635030943873644097999565354060487939529465596798133819856454963780882865225005046917803623492064949944135012729774022925135711254612656782679520121188900021585e-18
150	1	1	-4.64834813868334419447094061932457009236117087492683374506447164840807240077807195546915178758864770770474733705351742620690655698357804428591057183640436028847714473930629061428697432134489791268299e10
150	1	2	4.36060545565253131441354257985564259227224598594521512855933482654096084218292591988534746634500750062501905788595826585211962177744445908716586970842603272814423234272802643978024760170530544299515e10
150	1	3	6.8651634892938211185109337411852486092963270353746433366362174092214423539895446420912120120875309343840222017074742556565987251389595313633014497506512445069108050709381321637622318589321375772478e-17
150	2	1	4.64834813868334411314070824288053558870079912865967615587105531280410136778690419971049560054789789793461247657055804538952859805558928699527655746810991504514586921960052962497928638801227796800474e10
150	2	2	-4.36060545565254367604027950161288555382005633752895324318444205193186919071879998126501017374804511072251957167359701364045523411266880261339016497051151969523536010329043435598399334113712794218684e10
150	2	3	1.112311302170919215008552291530716765089023806973046139866605469048652898544562375567353075566123279527104233681316618182680715804088822864791324669100673078363808393839551358931469971386458015319724e-14
150	3	1	8.13302323764440345036603717462671575891934163356039710329911677557586561870407498097701348604829593808173779589279887572906340143682944452433312755197057609893076879333326199446782424403059206462454e-7
150	3	2	0.000123616267369217572429615478103515837381146251072253909083485358740613796627074030376100975005137876387477883356123352243435262242952620854869670911277605624079162037457394318224991916925637872596655
150	3	3	-1.119176465660213036127063225271902013698320134008420783203241686457874340898551920209444287578210810461488255883024092438337314529227782396154626118851324322870719198910489491095232203245390152896971e-14
200	1	1	-8.82745537831926553493236525980251963536571093765863295691361233140948333679766505951853674258753098431065250723661389811701275567553913571695989986560318724718669544601194076442681113425861430919206e10
200	1	2	6.85803608428853005308669684592487187633279600115662084715405586693553897844114215903494484754612811601445139052167076824775276106602071395987991288236533489088402261921473989052513641364141988871767e10
200	1	3	4.82733060289186583255078702362202178688784565951373430300377673649039660751997524875414539338296275982899811076702118333824548128423023752680479076287750895154152354284784108972915718538937718169072e-14
200	2	1	8.82745537831925927877246386205870357803006414002991602611478135929406066717624121630379549670962234641791683240803056285929616344616153434356761429424433873884307867903349561764708749547549616176248e10
200	2	2	-6.85803608428895627188294060663958219659246375633487493554798515823512457349034392878135361934656159088948998577490787913058547618242482591890690726079611389786604955553660751193569731765804940268238e10
200	2	3	4.23318809105636929824797995827969981748058387434003974721552729805396593061534567909270753932052569744056303305985325619793586096252264449144518164108654262577788973672418227458612375474396511600235e-12
