0	8	3.26995472362538710735048223845393275714524102678335880033956e-12
1	9	3.36546884276429219309631264614937362323241598833479136499843e-12
3	4	4.17487317407502847489875750270180211441805483921036096085887e-12
3	10	4.2109101308359370039238523357248495490922186733872278874488e-12
6	7	4.25526213045608422733212262503217800940396326028704665109277e-12
7	9	4.70967201150248928937669589637903177193472491082879951366679e-12
1	7	4.81908958034911167203310357713016059646621013140279598958999e-12
4	10	5.28307421783496228702016266447398809400662221313625757538029e-12
1	6	6.55496442149726778990817790122053370152084710046532057896062e-12
21	22	6.66357536341673767297002464918255815219723364015396624819673e-12
14	15	6.75340448487821593087334172905052417363039702328468672010475e-12
6	9	7.06483245805372075945751687814146769980660152921497013250172e-12
2	9	7.94600816821663209166512856026528922434990847455350271300922e-12
1	2	8.70362792172377098550879507675801110842507865252759568387336e-12
4	12	1.02398809841261067362380884197343997453025467869048298296144e-11
2	7	1.03795103095773459695167550941977743667303690130838580671244e-11
0	12	1.12774928542260726668214498330742452296762231304829806336048e-11
2	6	1.1537829451806486094330976836919878170915275903247191653769e-11
8	12	1.173879758389107043538975921221574275378610787331817783587e-11
3	12	1.19424976524842765045362559349856841454957387817172012333588e-11
10	11	1.40504778124805404780440676642648694719458054127361202608737e-11
14	17	1.40909148758781879714723223895967782137174868610795701051587e-11
16	20	1.43479847904940331237654649140591496974869317217594667755308e-11
10	12	1.4490836954614207406608027145033577025650975182330596779559e-11
13	15	1.45118568016164871825542901263553088302616250842393109321187e-11
16	17	1.52125498565442259021978794152434386235825836280151188102924e-11
18	20	1.60525212403156907386373222648680918853589480150432301768599e-11
3	11	1.6811576250630656287618264746269281236925987955405390262022e-11
15	17	1.71777783570165075303619714000886410177599527940662737888839e-11
13	14	1.73448445017530216254204839648554559434203907895053648776121e-11
0	4	1.83387027765500250076503418336532371161930824360016387004011e-11
4	8	1.886670445718161738858559947397912054851189492526144000174e-11
4	11	1.91207694603783488641939430547913580537201456193313608119937e-11
6	8	1.98778762702036294659199701586578679122149364974400633993445e-11
0	6	2.03805549938426831913997801087206651535148029192301142901485e-11
0	3	2.03938955284998850700926503587945468737230921070126036475308e-11
7	8	2.08840508595049789223477442394151117067033177815101302861367e-11
3	8	2.09325863694613526507100054865141673365779794700592196394336e-11
0	7	2.13835405512802755334504617462254847013343198901184218558043e-11
1	8	2.21029448716824476380641413518082244966670973157326044176968e-11
17	20	2.23111018325775530846960817867637430794266905393600351039756e-11
0	1	2.25993564875617272850504257239963688087389709301745109460284e-11
0	10	2.27410949936435611871247495608134202120269858492793981281158e-11
8	9	2.29990146858556494280125043840794834826019506589393316664238e-11
8	10	2.32793000769163685852754094237554859447089674253184522464514e-11
0	9	2.34947115051122624123045349113263402306182454247168687388624e-11
16	18	2.35446886711162938716433734325435658943190030631016130733805e-11
14	16	2.4952054724272843330662235095454233150987222865500059401641e-11
18	21	2.50087747452185655191531034468587408640869115454440912655701e-11
13	17	2.61841846087578692615993734491922188998840797026877974212171e-11
2	8	2.62098296088542769996790594150071475631215036637684150948413e-11
11	12	2.62792895008848052086760243657371705335276720342728769548991e-11
0	2	2.67011025780718991250047029620751321749493347659341623769549e-11
15	16	2.77346682766687813500989449189244884689016604971468554034095e-11
6	12	2.77666995062695059466424621730400867036237816098453613911859e-11
7	12	2.87231320667488456581541155405901377095649363965584015429316e-11
1	12	2.98944058438546933959880577591612557404663432691342877979057e-11
9	12	3.07706661462378891382675570771356367422826433535933239117392e-11
18	22	3.1756340056055770822878571388578655081080378673877177168712e-11
14	20	3.23560850395089202309976588635004124870145862055768934544264e-11
