#	Tc	i	j	k_{i,j}
0	1	1	-4.354463178879131878170062338632299349701475426389743991753e-28
0	1	2	3.493578127630699071130225763639524674188510082645306320403e-13
0	2	1	4.354463178879131878170062338632299349701475426389743991753e-28
0	2	2	-3.493578127630699071130225763639524674188510082645306320403e-13
50	1	1	-3.148755349027620303815573411063132754251018034862033720308e-22
50	1	2	1.470011285171168460880628372723757441344202956883082125752e-9
50	2	1	3.148755349027620303815573411063132754251018034862033720308e-22
50	2	2	-1.470011285171168460880628372723757441344202956883082125752e-9
100	1	1	-5.98303619628245072359866812987700589665635030943873644098e-18
100	1	2	6.285370085910226593376638915579821869038214686607561054541e-7
100	2	1	5.98303619628245072359866812987700589665635030943873644098e-18
100	2	2	-6.285370085910226593376638915579821869038214686607561054541e-7
150	1	1	-1.1191764656602130361270632252719020136983201340084207832032e-14
150	1	2	0.00006417592574239561493691708024641766071796856543723492408224
150	2	1	1.1191764656602130361270632252719020136983201340084207832032e-14
150	2	2	-0.00006417592574239561493691708024641766071796856543723492408224
200	1	1	-4.281461397085287956573487828515920035349462330935177090246e-12
200	1	2	0.002426020494587012250563170914337069816010363895289990892716
200	2	1	4.281461397085287956573487828515920035349462330935177090246e-12
200	2	2	-0.002426020494587012250563170914337069816010363895289990892716
250	1	1	-5.33935405256474160502164990358508516585184036555181339619e-10
250	1	2	0.04662488844420423732218079207019506433635508605694597202026
250	2	1	5.33935405256474160502164990358508516585184036555181339619e-10
250	2	2	-0.04662488844420423732218079207019506433635508605694597202026
