#	type	A	Ea
rate limiting	259871918723.86865	-119091.79601616667
pre-equilibrium	552619289485.1385	-123827.52046076782
generalized pre-equilibrium	66635934761.976494	-121680.93428802046
lumping (this study)	66635934761.976494	-121680.93428802046
experiment	389612813520.99756	-126975.49301962033
