#	type	A	Ea
$-\lambda^{(3) \mathrm{ID-EL}}_2$	13050016253941.701	-17616.462675097227
$-\lambda^{(4) \mathrm{ID-EL}}_3$	6383522699050.255	-10668.735814331989
$-\lambda^{(5) \mathrm{ID-EL}}_4$	5709291488468.672	-10199.033638929772
$-\lambda^{(3) \mathrm{PCCA}}_2$	14470258566526.504	-17818.71272717007
$-\lambda^{(4) \mathrm{PCCA}}_3$	6279699512891.589	-10385.50037224915
$-\lambda^{(5) \mathrm{PCCA}}_4$	6405899079524.959	-10297.147961537614
$-\lambda_2$	13050016253941.701	-17616.462675097227
$-\lambda_3$	6383522699050.255	-10668.735814331989
$-\lambda_4$	5709291488468.611	-10199.033638929715
