${\Delta t}_{I,J}$	$I$	$J$
5.062931577144805e-12	20	21
5.2665321386241265e-12	16	17
5.615807489991798e-12	12	13
6.6772971019093875e-12	11	15
6.738309206305527e-12	9	10
8.575902974153528e-12	1	3
1.1057552526409433e-11	18	20 21
1.3081567163526902e-11	12 13	11 15
1.8493623154935168e-11	14	11 12 13 15
2.0683732091081894e-11	19	16 17
2.099398577370618e-11	7	6
2.3788301255757435e-11	4	5
2.8397254596615337e-11	2	1 3
4.1844058138085115e-11	18 20 21	16 17 19
6.181693327573074e-11	4 5	1 2 3
6.396812465917497e-11	22	23
8.448698795993042e-11	10 9	6 7
8.607647574765886e-11	11 12 13 14 15	16 17 18 19 20 21
1.6857138392850442e-10	8	10 6 7 9
1.6978754163325868e-10	22 23	11 12 13 14 15 16 17 18 19 20 21
3.3765326936538016e-10	1 2 3 4 5	10 6 7 8 9
386006.13207925233	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
