3	4	1.47926600337330855156014573109449838244416174593780176222057e-12
0	1	1.88185670971170957370489472518039090148237364375915524706759e-12
4	5	2.89167632858815869423622404080063823090056270253747758787458e-12
3	5	4.11276861868483838331900209852534678806018916759936382023549e-12
2	3	6.44984196118264812884451891850446718780903714445894778607654e-12
1	2	6.4817843185816962181812620818864364257184336284377541782413e-12
0	2	6.57974745040403787821530161813591293493452608792529707595061e-12
2	4	6.61807963612020525609791651335851246242054293160274840362911e-12
2	5	6.83635945470206867119326718548605688047522123582717462593216e-12
1	3	7.53557214044881888356327052141547720525240379394644923139219e-12
0	3	7.58402809181604258034810526885264720649817992642838478153865e-12
1	4	7.62741788215397322691425637912268477228583400020133048518936e-12
0	4	7.67326596014229731708988234302884262528737368042347576294805e-12
1	5	7.74722746702399913536275166227913630398037554497663816523693e-12
0	5	7.78970837387296202259014016492517571364060073117262387616316e-12
