#	Tc	i	j	k_{i,j}
0	1	1	-1.61292906399098462632291365651534368692359382539869550423020041128865704922573467271452783488166696497071265097425237161595455840424009123019571677748123720940425091904233206354994108129288013564123e9
0	1	2	2.6563882301421484427724119076236389530701338713887867769933100055421212755216651711354320566439046147660474968701181975339404510757721597290030140132084617376349514289336943319697689468609540636575e9
0	1	3	5.6919157923694018858283097623224544259654818337240057191225913370952907309372603959466575796988820152658061492130824085343890019191521295907652246611429537990810851787733902703912037368070472106851e9
0	1	4	1.10600955813242464057777383582157303633891947693318725242284847401342705521866692998294214467918300601945571260088320617609010771625510984356027512486720131182501147989429296469839312361989157762766e-31
0	2	1	4.77816324805247546883597255818565031838464613455782661136658944188890887122462746173672986662724944483114177539814483321290207678935991720291001359191255826428520117726058417069721371639381700998493e8
0	2	2	-3.35774885257320463652521498399847954735959784022048748606716473793263405867197042019176050933262701004362860039741788784281855826507978331121006810808074372739071713173169622761743561630015347514905e10
0	2	3	2.78897001034127273146918752959344550864670862759360654157656604649052510260936408738519667969756428555845660047567863584992350590410801898261265181672214330033977730230138116678051331745155094782411e10
0	2	4	0
0	3	1	1.135112739185737079439316278304672148982290641415561192157857344395519302326214145639948480324032107314572096514158193323393723847748728913745405275103578292736712412052331026521597859369153518544053e9
0	3	2	3.0921100295589897922479737932361156520525844530816088083678337373784219311198039030782173036682365485670238507104060680894245131575025673383097667067598975536272219888383267944204587216140580687833e10
0	3	3	-3.35816158957821292005226007321077945812325820470341100026533718598044974167230496839572608897398508236297129427740264729626287778216338388770635809698119054108167840269356283612865034343757857760009e10
0	3	4	4.35335716932099945352948456479647777666513650691281080450032374535278105826269662495078807958933893673864127947965266320650225298040590916081038085669677678408394227324250489410531207675079213574809e-28
0	4	1	1.22392106506102838570527351650935684122704246859777057780900906367894909913173026376920279694971270626877555370596159310143186403090239018389263942619958621850284344916098680423635667888194975748584e-16
0	4	2	0
0	4	3	2.41567385088506880001393737403886776512005780395565969214841415863651306532595277934078880415770592900471686140151946017183814144751860833792582514842642309016652305322908707468876262732936529402587e-12
0	4	4	-4.35446317887913187817006233863229934970147542638974399175274659382679448531791529188077102173401811974466073519225354641267834308812216427065394113182164398539576728472239918707001046987441202732572e-28
50	1	1	-6.94469185472821788127441965575710321445289698469013819045735566495642094857221365963786153943113836266590796729544214058067651916785158882128175886760583788381441109004172678386494725669977533541604e9
50	1	2	7.0913129111388411254922648324201720463762998219100081472657031429922718735341298204791115167112252870213610797601868073921277437569323801237026979428529331755575310325687638819142209239166520596049e9
50	1	3	1.56799190537926828162997916728309086056158134581875241933775532983646340583494585236334309704846934283048675145525949439501935259820163093834700171130756406275580152100758543529595768876756518469297e10
50	1	4	3.21643424443364138371949328650612648818898223740455196352760373310141923024263143217066857975723350608100374271775241448490368106925912021337036235171213333454754729837744214148129035228430509718394e-25
50	2	1	1.98897963120478056001240081352111648211732244094176794299677165590637407238883537785182713014547395972283767424494188365216971269974018442500448987022905998685044985700983389154949520057577215746913e9
50	2	2	-7.45650678703603918264562440578768183734977139652069460326518587232723839068783031874454089797368066700749701780374850298753383529675553851073387652847022610253436676515501143414843235620025319768861e10
