   0	0	1	12.0	kJ/mol
   1	0	3	11.8	kJ/mol
   2	0	8	10.7	kJ/mol
   3	0	10	13.6	kJ/mol
   4	0	12	10.0	kJ/mol
   5	1	1	9.9	kJ/mol
   6	1	2	9.6	kJ/mol
   7	1	3	12.9	kJ/mol
   8	1	6	8.8	kJ/mol
   9	1	7	8.1	kJ/mol
  10	2	8	16.2	kJ/mol
  11	2	9	10.6	kJ/mol
  12	3	5	15.9	kJ/mol
  13	3	8	14.2	kJ/mol
  14	3	11	8.4	kJ/mol
  15	4	5	16.1	kJ/mol
  16	4	8	14.1	kJ/mol
  17	4	8	21.6	kJ/mol
  18	4	9	19.8	kJ/mol
  19	4	9	21.4	kJ/mol
  20	4	10	12.9	kJ/mol
  21	4	12	14.3	kJ/mol
  22	4	16	225.5	kJ/mol
  23	5	6	17.5	kJ/mol
  24	5	10	12.0	kJ/mol
  25	5	11	8.4	kJ/mol
  26	5	12	23.3	kJ/mol
  27	5	19	206.7	kJ/mol
  28	6	7	7.8	kJ/mol
  29	6	7	12.7	kJ/mol
  30	6	9	12.6	kJ/mol
  31	6	12	17.0	kJ/mol
  32	7	9	12.9	kJ/mol
  33	7	10	17.1	kJ/mol
  34	7	11	16.7	kJ/mol
  35	9	9	9.9	kJ/mol
  36	10	11	25.5	kJ/mol
  37	10	12	10.9	kJ/mol
  38	11	12	15.8	kJ/mol
  39	13	14	88.4	kJ/mol
  40	13	15	91.6	kJ/mol
  41	13	20	97.5	kJ/mol
  42	14	14	84.4	kJ/mol
  43	14	16	92.3	kJ/mol
  44	14	17	91.3	kJ/mol
  45	14	21	98.1	kJ/mol
  46	14	21	98.1	kJ/mol
  47	15	16	98.5	kJ/mol
  48	15	17	91.3	kJ/mol
  49	15	18	100.9	kJ/mol
  50	15	18	103.3	kJ/mol
  51	16	17	88.0	kJ/mol
  52	16	19	97.5	kJ/mol
  53	16	19	100.5	kJ/mol
  54	16	22	114.8	kJ/mol
  55	17	22	100.9	kJ/mol
  56	17	22	103.7	kJ/mol
  57	18	19	97.6	kJ/mol
  58	18	20	88.2	kJ/mol
  59	18	22	93.1	kJ/mol
  60	19	21	89.8	kJ/mol
  61	19	22	90.8	kJ/mol
  62	19	22	100.7	kJ/mol
  63	20	21	93.0	kJ/mol
  64	21	21	88.7	kJ/mol
  65	21	22	88.5	kJ/mol
