#	Tc	i	j	k_{i,j}
0	1	1	-1.5835617879816115254155012804056849853525886631429501729701735019785431681808541597943742604491099566712456687781294631993952452774815957677190626420640291542823862017825946089641927775812505592224554e9
0	1	2	4.174960121644863473590556587552082380754075583931998770303073000635265009185831201524381755648466447701660455189340002419592973554500812684547844291039027125142455999930397584802869367364190573879666e9
0	1	3	9.6901474518464146400957612922076686625791672473849511897511353355586203660949566823806374091305615202756935110367582260149464140042340986544385302115635459420397399702952836794482409803343321157659e-30
0	2	1	1.5835617879816115254154897284036288718820691513963372165505358809513210865996096554680496471804895589383943330816775139012390070306656509099454167545237753733714644167106054359590631799275490192146021e9
0	2	2	-4.174960121644863473591796548939183417121141365155530898797076145312426734966085691694369891403346423383541706511969837568867289879126542543073967503199610097745186654419053741203089608213692786112009e9
0	2	3	4.257561704360645925787574420481037383580943484938119318545508597789381008419420782378891278889815410419579489504420852301323649533263330937940158082753229741506674282497204680864794551620984379721159e-28
0	3	1	1.15520020561134705195117466129564196376210272220815812445043263246132686203977328513356964519492981562382468159448577736458875402537809109217850719891730051295976537015400078532766638898416730611589e-14
0	3	2	1.2399613871010363670657812235321284940031446771617257802544901699881357548799756818812513226298351492743163246257298585261232121605829726027306544886561564002202408495022122323431391550121098745113805e-12
0	3	3	-4.354463178879110072188532033403114070206735157411968830443019951144967212080370349202697652981121025622336424614788434561473113673305671924484543384868865200927071682200157505640149936896416505890632e-28
50	1	1	-6.768540295201389310450826965983330374603142368815926781234526079023484751309760324498148316790637170491805902612238200383824806264612746907146678439194547787496958781097573974256960713648126802548636e9
50	1	2	1.1346409717883254300220030586229211177194273265220976609041731666932967934042643950927648217833118824518493597650868078950445650248196777548146975010998504810501220957049109833737197039587443809140364e10
50	1	3	9.3005017653555778575682959861977926535810271462122792738919818731675094491610739941838322645194695196031485620562770736515136170626702010575003831359004552506433253047366927866523508434124646771203e-24
50	2	1	6.768540295201389310373126226273227994623848427387362090944209795723958288600330076621917213503615530625185680818739041778388132189689546795523191549899508815567368856708348402346625188699398163478887e9
50	2	2	-1.13464097178832543040240349059887711520409894546224086385141588287417238217337531109009365905702402342009301969194230423072723333118063540351565522514923396984049051230691094109891447998849757458456e10
50	2	3	3.0557503313740778256124713204762492971785648490223401632485534567313108473357544976125519396132465429073336495795871894446693813868840593118132230597919417075304941584531388060763205197551892858491807e-22
50	3	1	7.77007397101023799792939414285646902903162832995264627094302478762311032870216398666202217934991586054366740749232001116234868892950389719295899243892255719103355249487286390697493790925617681892509e-11
50	3	2	3.804004319759559974846716189401432029472427161808755887691109159973288372737121409682436599268554963356826683063609576487009577240493834887903684166019999577251947760297531936705235510279162348622004e-9
50	3	3	-3.1487553490276336041881542803382272237143751204844629559874732754629859418273652375543902622584412381033651352001499601811845175575107613223882268911509462600369274115005057339429923121071613419013234e-22
100	1	1	-1.9594751737520928870401943939247636758858494158355615810600297324932150812351620851318399272043947056051378375402799113271443097004080092842671593347024933975128786338010788050345412809260474115061759e10
100	1	2	2.3721296367254799651992300667234264613625795109616896095392085550385736204512471501326738175427052976007032241619332764965445234155992268205816251544244610875842331182873634206910430959817209939699809e10
100	1	3	2.23673426487374630724504022135108318470490600918089115442853640323062939483760856333056653478984748948958088705446724812663920294678036514175155393659752831937016704632137994534745422757702719208337e-19
100	2	1	1.9594751737520928819448280130534327762685617533993479532229291027163945265261597317983193945333774367777281148473406703122054391634455086676972960467032449673576187324806204171578114193353233463258788e10
100	2	2	-2.3721296367254800979748461503811107057641301154335386375685287981303638335487887326280828713441634096030404533332570168806233891115938499887381529697401036061387551506983636922452989258786055343007921e10
100	2	3	5.759362769795076008458869861324249988320041812895306565579044442943150289233146850258417283607751261920085356053152552200398028291039215063164595110911801502327398929201375211577810683712316641703812e-18
100	3	1	5.09536638087133089961728766243621362783710062977682055470900235333352053267101726882740972269293924101493887053696250061656986328799924843015525990132045838787672986159072406518029714293599361242801e-8
100	3	2	1.3277561608365768424440155060447184902802932024309179021309754158249540905380145811200233722917132374038407886569599462316815652781531564251855452203241100027155425582989688454033081121237911756463553e-6
100	3	3	-5.983036196282450639183373883459358306790532413813395681021898083266213228716907706591473937086736010869043444758599277013061948585717251577339750504571554334264415633833513206112556117608677996689157e-18
150	1	1	-4.458415863504647520949288103942686481494170807999844724635025280936138095436950851945279648921542016322447992370554100310430060395822155034842953796053430121866665581995630046302108433914526016263128e10
150	1	2	4.18243039418147927905971617068823362977499199190365668982766822042770296766721061811301723301034514287077653437005883768408629643381539424226442306895841089224293586435816495511024129284839861343656e10
150	1	3	5.18439276274665638691810912433826953069164477296737249023265072968348414973166510293192724714712215952226814810939953518831195094039193250920874332172261666220005173229801557659715886003871538096109e-16
150	2	1	4.458415863504646745877082564229059166216246881914850716698080176500379309174129916481068044227066712475321137527769581798302210588114849321733034689698129501885418179362905967293391607057677603537845e10
150	2	2	-4.182430394181490989888590553687035378713544798544370327400011674381079823303141845971576931782480124601144252144773757483183453372735584559838131653834340467105794903324287864346148779907079253385453e10
150	2	3	1.0673325380327420504727466862270607190151007100991650111909728052077973353606997696475070496850647295200933374771291271378944402283869984006253304396585827126974402102906333254010373826218769011758674e-14
150	3	1	7.75072205539713627315277923926084994007936945104435758786262820935464211604694475303847126854842784518512127849807707305713109919106355300619981247402632724079008716826856848412725283247724669319539e-6
150	3	2	0.00011710828874382998801748938552806640713637572343453953376855635931227858559698772134981730367717774714919799097156938920190317573708584875929574862859038966122909235907487058680639948893242326323622727
150	3	3	-1.1191764656602086143419277774704434143220171578288387360932993125046321768580164206768263221565359511153160189582231224897775597377909177257174178728758088793194407276136134811670089712223356414430296e-14
200	1	1	-8.379400622901043492980749668554362366177226543322251412457019435733836878093635770041426848592287667696910631463590958676966743212477112038348853363090931872372674993605644296475941036478244690056373e10
200	1	2	6.509943055357190337399191973682050997345314813105117769289671864364856231896750758122533766900186287484690473661961161112057408481776086448420616818208276705938555217299337378383484339269529356872614e10
200	1	3	2.50700284548147115579150183228061798953942789191365902534244255267956210638538009110137824585689210399293069594556286671923737275039323287164262195575201264486911561125956542961026665026354063278088e-13
200	2	1	8.379400622900999358310195172166695004436632213590451102618299977723753160479778031199066613291845276953078339166423869949027383450536707151631455464873600643984757568814606633696304620557821254469165e10
200	2	2	-6.509943055357587128440579432005388293576885812087820179364155313400424303955585620168639913814352315536080345323669880335509404870880545586663616180601743243400446552205180366533324633034154132012721e10
200	2	3	4.030761112537062595445471192665076726139119207313131752930922043389832750240364501638362424531218544830825762657777185519997660594091584760772948106287398863891690286407938662781804863522821386935033e-12
200	3	1	0.000441346705544963876673617405943297318003098387194580100837176138577388423602353004423907438322922971670887279393597619404048867173978982173312283879174247910376627796364159204234355872086312126155333
200	3	2	0.003967910413874583233372962315709989827024100744834490355680720588348620461061469141660280513898716617087192234519963891044591382429993623934665374618913349058429881498402937646247751401070672895540219
200	3	3	-4.281461397085209711024621375893138525093061996504497655465166298657788960878902510748500249116907755230118832252333472191921397869130908047937210301862600128378601847533895205742831528549179253530989e-12
250	1	1	-3.025952912964489625127330271432099519460510680665978911840206228914141676109021530824319532051889640114780487201882330506572577240779976892531910752819184717861121719931822351229419640720140326855529e10
250	1	2	2.035028951572596708209011564739931407096597174226565787448553844062884872916627005522272448060197839110505166684299576113742336956533042295863594625283188491518938806877650876433204470441643378662156e11
250	1	3	4.232191932320919090873862655627460910994326297407645679266213710859196257271552182225293307358424413600049372895026600785600496890426628551132844703702618984151325509614792346320052069608500690111312e-10
250	2	1	3.0259529129642755675059853707841623466430980089326819639033360234130615111945230385100171068141605941185892057505652412652310968101072190447668306511830947613480401189415122970667034925486067877037e10
250	2	2	-2.035028951576054638255861170344689203572320015568810176860416685929810978529910316185883972004840032491453046830218105706393366628439609564040254240891106971071317850940740064672333675620115193648121e11
250	2	3	1.107162120242484594973736038810798731098569239856188706655746243133596979591907101061191358313284057426662195279833782223539529185237159970013673273301805501336085253720708164700034811197502138399141e-10
