${\Delta t}_{I,J}$	$I$	$J$
3.340472300625173e-12	11	15
3.962296513676657e-12	20	21
4.027841142858117e-12	16	17
4.800484224908042e-12	12	13
7.301149086200486e-12	9	10
7.341153756430949e-12	18	20 21
7.488172567301993e-12	1	3
9.346360796280745e-12	11 15	12 13
1.41791819230627e-11	14	11 12 13 15
1.4964584227899577e-11	19	16 17
1.8469348529424867e-11	7	6
1.8679910858287622e-11	4	5
2.1773237477993908e-11	2	1 3
2.8802568861132508e-11	23	18 20 21
4.607707733411681e-11	4 5	1 2 3
4.620879797847459e-11	11 12 13 14 15	16 17 19
6.104073448389305e-11	10 9	6 7
7.626857525855559e-11	22	18 20 21 23
1.2276319969504465e-10	8	10 6 7 9
1.238240540601122e-10	11 12 13 14 15 16 17 19	18 20 21 22 23
2.013086349417025e-10	1 2 3 4 5	10 6 7 8 9
9257.056484685463	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
