${\Delta t}_{I,J}$	$I$	$J$
1.4792660033732893e-12	4	5
1.881856709711709e-12	1	2
4.112768618684828e-12	6	4 5
6.579747450404068e-12	3	1 2
7.789708373872965e-12	4 5 6	1 2 3
