${\Delta t}_{I,J}$	$I$	$J$
6.25137749952334e-12	12	13
7.125481998897523e-12	20	21
7.569830442556468e-12	9	10
8.260013677573729e-12	16	17
1.00958555391951e-11	11	12 13
1.3678728286014109e-11	14	15
1.3788124087993599e-11	1	3
1.99215287794026e-11	18	19
2.5655317153359347e-11	11 12 13	14 15
2.576179544593872e-11	7	6
3.429268632363685e-11	4	5
4.318628403583372e-11	20 21	18 19
4.614703095662516e-11	2	1 3
6.767362606860553e-11	16 17	18 19 20 21
8.614347339129852e-11	22	23
9.65677494552423e-11	4 5	1 2 3
1.2063871634786883e-10	8	10 9
1.3905125122978543e-10	11 12 13 14 15	16 17 18 19 20 21
2.5356770142719016e-10	22 23	11 12 13 14 15 16 17 18 19 20 21
2.598220147357869e-10	6 7	10 8 9
6.885334024912607e-10	1 2 3 4 5	10 6 7 8 9
44039280.579173915	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
