#	Tc	kF
0	1.0705139394367110323772086898125515657193293033409949537798e-12
50	5.424375591129448075549056719147366378735357886698414153849e-9
100	2.762588283648218199830173277574957023044589492894758966394e-6
150	0.000327688759618986059753285576968722553322581571383337171418
200	0.011704600671473157521018513266847107356238080454520149490407
250	0.20836568425467648763482958370711211364608908710834184092382
