#	Tc	kF
0	4.380446249383018096876049906885505615982585290388585094461e-12
50	1.4817498444745868710615553842886090805795742329453739838346e-8
100	5.435939965061419367226571595820864290105940341662094076881e-6
150	0.0005163753433206425425517729788293097615418298953897960687747
200	0.01849560206828484327179575346264941029823736355856402869901
250	0.3376754901869377285062548120538374718725907396100408603235
