0	1	5.7445096057422213385368211860855369110824799350283721467193062021710615346991951272158650402381829857591258104719737541882831025736158448956520771868435789249730081486432759008731092072191153800533511e10
0	3	2.2767588689228572518266872213827053658706698239924806413954316137372854710630541568271272589481818249064157887785014371464118966937017763262241107093883584159586025814539617599024679319372637370689335e11
0	8	8.0702954085033656694086322537525666798180147783982970469435597884953483469009880963188920608396442238527900553535642114700574556131146571929053623247003792022881815635573848318300049473648991968852941e11
0	10	1.122543169256859627476175500077708127748931328537045165735559511141189380023457237821464611483946852249674887544239249939234723731295515380618236836331262801968663639759307779169702918829066251603473e11
0	12	9.3658027714115708252769052114366542476894817624036658601383806027422064497084621166992085856740331189005045510401991357639444771976772533298062540605674085158159489051970771094812626704473929109211192e11
1	0	8.9788287329113162610785822593340760796039379129035832521614475898458741012256090829037352430968409479429006237693010193062219679890412129231804949761163405344253104678900745420659637372934240555031188e10
1	2	3.8336419846968326085326285014311003446668800240852698731945750313603143290553788588667996553399053955746348515501327710164199440977212522342120535468839175786130525969668571408047909079647267837021194e11
1	3	1.5691992694626468027201594689080584671949225679919415385758926978039553296529564251927106570803664476297263949572940051494075315188483018069276740267307249645706595718500363441784187690515424101524564e11
1	6	5.3590350612084846898789913546404049281777421554279301896939465056866373597857392820046707397045943110911056880493134175558938326444677441669746460244689119207910331655283757524225425754414879506324524e11
1	7	6.9539867078254159102765611036974643052386557691250477250510960321968073840833860486365494063967831839976946987134105969956829697777261736713183116145765451368066390512453878954178261607091787817103971e11
2	1	1.5118691431814241291324704499469335027031830566727760730396468423939152027134170200539916121818523934298300741598234908322491623292369904826104970456703348591291594154936373534675713081761082484803512e11
2	8	1.122543169256859627476175500077708127748931328537045165735559511141189380023457237821464611483946852249674887544239249939234723731295515380618236836331262801968663639759307779169702918829066251603473e11
2	9	5.7731705341684758513377538314751699455688844045786361541038460538024364025788563806887099996482884539578853785145079225673384697505649161039276027753296970664096086102366735426500931675411452493792281e11
3	0	9.3193062057381464208313264580403305913149291511764552629318254712565766672615597571056570955335575909793050437560439494772709236807011853323281129858213865919628391997420897798118864825434197283128718e10
3	1	4.1093952464460061916732496988785063394669907202169974578323682733076848423463832651208438221216984509606548015067800995784290705613925532187220481612994592133602125248977148728632789501851774319021238e10
3	5	3.8146098535853434700464285655921252026741754810259670780467266287207101034366580714964474205251138553048910564213625992585561694678794273731219203238962971747726627187819466353530954944852518020329986e10
3	8	2.1935783092531229889180225339986595863999312618429644346578298746188918472051754512672837172223574960937700288238866633911724673602040491059563067871127510270026790301606666786124804781651344372905476e11
3	11	7.7754500922327905817245690580799363918795582651561673160413236566826828449729216157458917471173060801249765476944126883665484065921450279116660833297442095954689779716965975280217810300905957497342649e11
4	5	3.2869609939460336449113405512288258894792736303898470408362259265885991986954672691022098626972081691371495556911779211014867867547510315520326364324842937441729459388922003465311956133747225755314422e10
4	8	2.3332231801915589714346313126138469248539028180023830431092879679131574026738977605658482114876438778283881994286903013985012278672009431218036635270500203806817118283083413062278005088143525137366722e11
4	9	3.3062320779472313121777581320662423542069306845046983624547635534410882545535782680204857961712896209802621601619233764983996958077722415744756590976968020589768846391608953459442536256363873408295428e10
4	10	1.6287033559667130017680187806315747813118092483332043191777606047090657790056944939117373167842045581528253625948848989966316567477407511693278813772571702810413718250388115497684975961374640085709341e11
4	12	2.0362230769417385615869591295035710559360901309014880089630748048493462406859606510003394749703994959472482287078407938995105796581903338012526289210764884147386104736468363486383911869678613259405769e11
4	16	2.2816936771424908987301848861177840261973130331458222995107590919901430950261527520370897229179704375504526981333087699819796943802621050527584622774027154587329843560981686853202739365805172197425103e-11
5	3	5.5346360303908419949976104623709052864290435408155393271597706406689316174271120469061446444022005433559476307897423308046818667493910028790955143649247033288725847259862070574959778103632151987600262e10
5	4	8.6507904810890676224620595295724311690685231875712919936862185565054950451894385710609885825412480739002773634163523461405714003730673822979302831976157223880501073398239050622278668739458315485869487e10
5	6	2.1029445560323827483640558080575655476935151793379013898269990439807060089204162776550693002330454747371499329534312375375671034280293609142730435918864658893325810008623588238038846898076505621926875e10
5	10	2.1935783092531229889180225339986595863999312618429644346578298746188918472051754512672837172223574960937700288238866633911724673602040491059563067871127510270026790301606666786124804781651344372905476e11
5	11	7.491376842674308415479898409432981437526032011102260141666417146942684304851214691134180899687151945974799997325485904043568479630495980252868027515520682508735858215092368514399915057296383655871432e11
5	12	6.6335668408504887708823986670035496460008685776329114521231401517241430103280980254078046363014160875832081140217276441111054781821210686817068325009092870702835916276785377654455933513116301887370923e9
5	19	1.4817498444745931407615239952992433929290914560022074480360669405933018879734951972766584983965384813143929377413042995002150113925181413795330014389738615104969626635105064518431822536687190117600768e-8
