   0	0	1	15.6	kJ/mol
   1	0	3	15.5	kJ/mol
   2	0	8	14.8	kJ/mol
   3	0	10	16.8	kJ/mol
   4	0	12	13.0	kJ/mol
   5	1	1	12.9	kJ/mol
   6	1	2	12.5	kJ/mol
   7	1	3	16.5	kJ/mol
   8	1	6	11.3	kJ/mol
   9	1	7	10.8	kJ/mol
  10	2	8	19.7	kJ/mol
  11	2	9	14.3	kJ/mol
  12	3	5	18.6	kJ/mol
  13	3	8	18.5	kJ/mol
  14	3	11	11.5	kJ/mol
  15	4	5	19.5	kJ/mol
  16	4	8	18.9	kJ/mol
  17	4	8	26.1	kJ/mol
  18	4	9	22.7	kJ/mol
  19	4	9	23.8	kJ/mol
  20	4	10	15.1	kJ/mol
  21	4	12	16.7	kJ/mol
  22	4	16	231.0	kJ/mol
  23	5	6	19.8	kJ/mol
  24	5	10	14.4	kJ/mol
  25	5	11	11.8	kJ/mol
  26	5	12	26.4	kJ/mol
  27	5	19	213.4	kJ/mol
  28	6	7	10.3	kJ/mol
  29	6	7	14.8	kJ/mol
  30	6	9	14.4	kJ/mol
  31	6	12	19.8	kJ/mol
  32	7	9	15.0	kJ/mol
  33	7	10	19.7	kJ/mol
  34	7	11	19.7	kJ/mol
  35	9	9	13.5	kJ/mol
  36	10	11	28.0	kJ/mol
  37	10	12	13.9	kJ/mol
  38	11	12	17.9	kJ/mol
  39	13	14	93.1	kJ/mol
  40	13	15	96.4	kJ/mol
  41	13	20	100.5	kJ/mol
  42	14	14	89.1	kJ/mol
  43	14	16	96.4	kJ/mol
  44	14	17	95.5	kJ/mol
  45	14	21	100.5	kJ/mol
  46	14	21	100.5	kJ/mol
  47	15	16	103.8	kJ/mol
  48	15	17	96.7	kJ/mol
  49	15	18	105.3	kJ/mol
  50	15	18	107.6	kJ/mol
  51	16	17	93.6	kJ/mol
  52	16	19	100.6	kJ/mol
  53	16	19	104.0	kJ/mol
  54	16	22	117.3	kJ/mol
  55	17	22	103.8	kJ/mol
  56	17	22	106.1	kJ/mol
  57	18	19	101.2	kJ/mol
  58	18	20	91.8	kJ/mol
  59	18	22	95.4	kJ/mol
  60	19	21	92.5	kJ/mol
  61	19	22	93.5	kJ/mol
  62	19	22	103.8	kJ/mol
  63	20	21	94.4	kJ/mol
  64	21	21	89.8	kJ/mol
  65	21	22	91.3	kJ/mol
